"year","category","winners","nominees"
"1929","Actor","Emil Jannings - The Last Command, Emil Jannings - The Way of All Flesh","Richard Barthelmess - The Noose, Richard Barthelmess - The Patent Leather Kid"
"1929","Actress","Janet Gaynor - 7th Heaven, Janet Gaynor - Street Angel, Janet Gaynor - Sunrise","Louise Dresser - A Ship Comes In, Gloria Swanson - Sadie Thompson"
"1929","Art Direction","William Cameron Menzies - The Dove, William Cameron Menzies - Tempest","Rochus Gliese - Sunrise, Harry Oliver - 7th Heaven"
"1929","Cinematography","Charles Rosher - Sunrise, Karl Struss - Sunrise","George Barnes - The Devil Dancer, George Barnes - The Magic Flame, George Barnes - Sadie Thompson"
"1929","Directing (Comedy Picture)","Lewis Milestone - Two Arabian Knights","Ted Wilde - Speedy"
"1929","Directing (Dramatic Picture)","Frank Borzage - 7th Heaven","Herbert Brenon - Sorrell and Son, King Vidor - The Crowd"
"1929","Engineering Effects","Roy Pomeroy - Wings","Ralph Hammeras, Nugent Slaughter"
"1929","Outstanding Picture","Paramount Famous Lasky - Wings","The Caddo Company - The Racket, Fox - 7th Heaven"
"1929","Special Award","Special Award - The Circus, Special Award - The Jazz Singer",""
"1929","Unique and Artistic Picture","Fox - Sunrise","Metro-Goldwyn-Mayer - The Crowd, Paramount Famous Lasky - Chang"
"1929","Writing (Adaptation)","Benjamin Glazer - 7th Heaven","Alfred Cohn - The Jazz Singer, Anthony Coldeway - Glorious Betsy"
"1929","Writing (Original Story)","Ben Hecht - Underworld","Lajos Biro - The Last Command"
"1929","Writing (Title Writing)","Joseph Farnham","Gerald Duffy - The Private Life of Helen of Troy, George Marion, Jr."
"1930","Actor","Warner Baxter - In Old Arizona","George Bancroft - Thunderbolt, Chester Morris - Alibi, Paul Muni - The Valiant, Lewis Stone - The Patriot"
"1930","Actress","Mary Pickford - Coquette","Ruth Chatterton - Madame X, Betty Compson - The Barker, Jeanne Eagels - The Letter, Corinne Griffith - The Divine Lady, Bessie Love - The Broadway Melody"
"1930","Art Direction","Cedric Gibbons - The Bridge of San Luis Rey","Hans Dreier - The Patriot, Mitchell Leisen - Dynamite, William Cameron Menzies - Alibi, William Cameron Menzies - The Awakening, Harry Oliver - Street Angel"
"1930","Cinematography","Clyde De Vinna - White Shadows in the South Seas","George Barnes - Our Dancing Daughters, Arthur Edeson - In Old Arizona, Ernest Palmer - Four Devils, Ernest Palmer - Street Angel, John Seitz - The Divine Lady"
"1930","Directing","Frank Lloyd - The Divine Lady","Lionel Barrymore - Madame X, Harry Beaumont - The Broadway Melody, Irving Cummings - In Old Arizona, Frank Lloyd - Drag, Frank Lloyd - Weary River, Ernst Lubitsch - The Patriot"
