Date,Pregabalin,
2023-03-16,Entry(timestamp=2023-03-16, value=450000),
2023-03-15,Entry(timestamp=2023-03-15, value=225000),
2023-03-14,Entry(timestamp=2023-03-14, value=300000),
2023-03-13,Entry(timestamp=2023-03-13, value=450000),
2023-03-12,Entry(timestamp=2023-03-12, value=525000),
2023-03-11,Entry(timestamp=2023-03-11, value=600000),
2023-03-10,Entry(timestamp=2023-03-10, value=600000),
2023-03-09,Entry(timestamp=2023-03-09, value=375000),
2023-03-08,Entry(timestamp=2023-03-08, value=300000),
2023-03-07,Entry(timestamp=2023-03-07, value=150000),
2023-03-06,Entry(timestamp=2023-03-06, value=150000),
2023-03-05,Entry(timestamp=2023-03-05, value=-1),
2023-03-04,Entry(timestamp=2023-03-04, value=150000),
2023-03-03,Entry(timestamp=2023-03-03, value=225000),
2023-03-02,Entry(timestamp=2023-03-02, value=225000),
2023-03-01,Entry(timestamp=2023-03-01, value=225000),
2023-02-28,Entry(timestamp=2023-02-28, value=300000),
2023-02-27,Entry(timestamp=2023-02-27, value=225000),
2023-02-26,Entry(timestamp=2023-02-26, value=300000),
2023-02-25,Entry(timestamp=2023-02-25, value=225000),
2023-02-24,Entry(timestamp=2023-02-24, value=450000),
2023-02-23,Entry(timestamp=2023-02-23, value=300000),
2023-02-22,Entry(timestamp=2023-02-22, value=300000),
2023-02-21,Entry(timestamp=2023-02-21, value=300000),
2023-02-20,Entry(timestamp=2023-02-20, value=300000),
2023-02-19,Entry(timestamp=2023-02-19, value=300000),
2023-02-18,Entry(timestamp=2023-02-18, value=225000),
2023-02-17,Entry(timestamp=2023-02-17, value=300000),
2023-02-16,Entry(timestamp=2023-02-16, value=450000),
2023-02-15,Entry(timestamp=2023-02-15, value=300000),
2023-02-14,Entry(timestamp=2023-02-14, value=300000),
2023-02-13,Entry(timestamp=2023-02-13, value=300000),
2023-02-12,Entry(timestamp=2023-02-12, value=300000),
2023-02-11,Entry(timestamp=2023-02-11, value=150000),
2023-02-10,Entry(timestamp=2023-02-10, value=450000),
2023-02-09,Entry(timestamp=2023-02-09, value=300000),
2023-02-08,Entry(timestamp=2023-02-08, value=450000),
2023-02-07,Entry(timestamp=2023-02-07, value=150000),
2023-02-06,Entry(timestamp=2023-02-06, value=300000),
2023-02-05,Entry(timestamp=2023-02-05, value=450000),
2023-02-04,Entry(timestamp=2023-02-04, value=300000),
2023-02-03,Entry(timestamp=2023-02-03, value=225000),
2023-02-02,Entry(timestamp=2023-02-02, value=450000),
2023-02-01,Entry(timestamp=2023-02-01, value=150000),
2023-01-31,Entry(timestamp=2023-01-31, value=225000),
2023-01-30,Entry(timestamp=2023-01-30, value=150000),
2023-01-29,Entry(timestamp=2023-01-29, value=150000),
2023-01-28,Entry(timestamp=2023-01-28, value=375000),
2023-01-27,Entry(timestamp=2023-01-27, value=150000),
2023-01-26,Entry(timestamp=2023-01-26, value=225000),
2023-01-25,Entry(timestamp=2023-01-25, value=150000),
2023-01-24,Entry(timestamp=2023-01-24, value=300000),
2023-01-23,Entry(timestamp=2023-01-23, value=300000),
2023-01-22,Entry(timestamp=2023-01-22, value=300000),
2023-01-21,Entry(timestamp=2023-01-21, value=600000),
2023-01-20,Entry(timestamp=2023-01-20, value=450000),
2023-01-19,Entry(timestamp=2023-01-19, value=750000),
2023-01-18,Entry(timestamp=2023-01-18, value=450000),
2023-01-17,Entry(timestamp=2023-01-17, value=300000),
2023-01-16,Entry(timestamp=2023-01-16, value=300000),
2023-01-15,Entry(timestamp=2023-01-15, value=375000),
2023-01-14,Entry(timestamp=2023-01-14, value=75000),
2023-01-13,Entry(timestamp=2023-01-13, value=150000),
2023-01-12,Entry(timestamp=2023-01-12, value=150000),
2023-01-11,Entry(timestamp=2023-01-11, value=150000),
2023-01-10,Entry(timestamp=2023-01-10, value=150000),
2023-01-09,Entry(timestamp=2023-01-09, value=300000),
2023-01-08,Entry(timestamp=2023-01-08, value=300000),
2023-01-07,Entry(timestamp=2023-01-07, value=300000),
2023-01-06,Entry(timestamp=2023-01-06, value=300000),
2023-01-05,Entry(timestamp=2023-01-05, value=300000),
2023-01-04,Entry(timestamp=2023-01-04, value=300000),
2023-01-03,Entry(timestamp=2023-01-03, value=300000),
2023-01-02,Entry(timestamp=2023-01-02, value=300000),
2023-01-01,Entry(timestamp=2023-01-01, value=150000),
2022-12-31,Entry(timestamp=2022-12-31, value=-1),
2022-12-30,Entry(timestamp=2022-12-30, value=150000),
2022-12-29,Entry(timestamp=2022-12-29, value=450000),
2022-12-28,Entry(timestamp=2022-12-28, value=450000),
2022-12-27,Entry(timestamp=2022-12-27, value=-1),
2022-12-26,Entry(timestamp=2022-12-26, value=300000),
2022-12-25,Entry(timestamp=2022-12-25, value=-1),
2022-12-24,Entry(timestamp=2022-12-24, value=-1),
2022-12-23,Entry(timestamp=2022-12-23, value=300000),
